namespace,cbb_err_msg
AUILNE0008,하나의 카테고리에는 하나의 서류만 첨부 가능합니다. 다른 카테고리에 서류를 첨부하시거나 제출하여 주시기 바랍니다.
AUILNE0009,약관을 보신 후 약관 동의를 할 수 있습니다. 약관 보기를 누르십시오.
AUILNE0010,수시상환일 경우는 이자/월부금 조회를 할 수 없습니다. 대출거래내역을 확인하십시오.
AUILNE0011,다음납입일이 존재하지 않습니다. Cashflow (상환) 스케쥴을 확인하십시오.
AUILNE0012,모바일 신청 승인 건은 약정화면으로 넘어갈 수 없습니다. 대출현황에서 신청건을 확인해주세요.
AUILNE0013,조기 상환금액이 입력되지 않았습니다. 상환금액을 입력하십시요
AUILNE0014,인출가능금액이 수수료금액보다 적습니다. 수수료금액을 입금 후 다시 시도하여주세요.
AUILNE0015,당일 계약건은 조회할 수 없습니다. 상환스케쥴을 확인해주세요.
AUILNE0016,1회 한 상품만 신청 가능합니다. 입력값을 확인해주세요.
AUILNE0017,진행 중인 한도 약정건이 없습니다. 한도 약정거래를 하십시오.
AUILNE0018,승인 상태에서만 약정이 가능합니다. 계약 상태를 확인하십시오.
AUILNE0019,입력하신 계약기간은 만기일을 초과합니다. 입력값을 확인하십시오.
AUILNE0020,상환계좌와 상환부계좌는 동일할 수 없습니다. 상환계좌를 확인하십시오.
AUILNE0021,신청금액은 필수값 입니다. 신청금액을 입력해주십시오.
AUILNE0022,신청기간은 필수값입니다. 신청기간을 입력해주십시오.
AUILNE0023,실행(지급)금액이 지급가능액보다 크게 입력되었습니다. 실행(지급)금액을 확인하십시오.
AUILNE0024,이자납입 대상이 없습니다. Cashflow (상환) 스케쥴을 확인하십시오.
AUILNE0025,실행(지급)금액이 지급가능액보다 작게 입력되었습니다 실행(지급)금액을 확인하십시오.
AUILNE0026,여신신청접수시 심사식별자를 입력할 수 없습니다. 
AUILNE0027,여신신청구분을 입력하세요. 
AUILNE0028,연동거래내역 취소여부에 메인서비스는 필수체크입니다. 
AUILNE0029,규칙 검증 후 등록하십시오. 
AUILNE0030,적용금리는 필수값입니다. 적용금리를 입력해주십시오.
AUIPDE0001,금리와 수수료 유형은 조건값 설정이 불가합니다. 입력 값을 확인하십시요.\n
AUIPDE0002,상품 우대금리간 적용규칙이 정의 되어 있지 않습니다. 우대금리간 적용규칙을 정의해 주세요.
AUIPDE0003,제공조건이 1건 이상일때는 적용규칙이 정의되어야 합니다. 적용규칙을 정의해 주세요.
AUIPDE0004,고객정보가 존재하지 않습니다. 
AUIPDE0005,적용가능 후보서비스가 없습니다. 
AUIPDE0006,서비스적용 결과가 없습니다. 
AUISCE0001,협약관계 등록구분 코드를 선택해 주십시오. 협약관계 등록구분 코드를 선택해 주십시오.
AUISCE0002,서브계약을 수정하려면 주계약도 선택되어야합니다.  선택 계약을 확인하십시오.
AUISCE0003,주계약과 서브계약 동시에 대출신청할 수 없습니다.  
AUISCE0004,선택된 계약이 없습니다. 계약을 선택해주십시오.
AUISCE0005,주계약과 서브계약 동시에 결제할 수 없습니다.  
AUISCE0006,선택된 매매계약은 이미 대출중입니다. 선택 계약을 확인하십시오.
AUISCE0007,선택된 매매계약은 이미 결제되었습니다. 선택 계약을 확인하십시오.
AUISCE0008,대출중인 계약만 결제가능합니다. 선택 계약을 확인하십시오.
AUISCE0009,구매기업만 결제가능합니다. 선택 계약을 확인하십시오.
AUISCE0010,승인건만 결제가능합니다. 선택 계약을 확인하십시오.
AUISCE0011,승인건만 대출가능합니다. 선택 계약을 확인하십시오.
AUISCE0012,결제전에만 대출가능합니다. 선택 계약을 확인하십시오.
AUISCE0013,만기일전에만 대출가능합니다. 선택 계약을 확인하십시오.
AUISCE0014,대출중이거나 결제된 계약은 변경할 수 없습니다. 선택 계약을 확인하십시오.
AUISCE0015,대출신청금액이 대출신청가능금액보다 큽니다. 대출신청금액을 확인하십시오.
AUISCE0016,승인된 계약은 변경할 수 없습니다. 선택 계약을 확인하십시오.
AUISCE0017,같은 핵심기업의 매매내역으로만 대출가능합니다. 선택 계약을 확인하십시오.
AUISCE0018,서브계약은 전체삭제만 가능합니다. 선택 계약을 확인하십시오.
AUISCE0019,승인요청가능한 상태가 아닙니다. 선택 계약을 확인하십시오.
AUISCE0020,하나의 계약만 선택가능합니다.  선택 계약을 확인하십시오.
AUISCE0021,3자기업이 등록된 매매계약만 연결이 가능합니다. 선택계약을 확인하십시오.
AUISCE0022,취소 거래를 위해서는 최종 배송요청등록건을 선택해주십시오. 선택값을 확인해주세요.
AUISCE0023,대출중인 매매계약만 연결이 가능합니다. 선택계약을 확인하십시오.
AUISCE0024,배송지시 중인 건만 취소가 가능합니다. 배송지시 상태를 확인해 주십시오.
AUISCE0025,대출실행금액은 0보다 커야합니다. 입력값을 확인해주십시오.
AUISCE0026,같은 매매구분으로만 대출신청할 수 있습니다. 선택 계약을 확인하십시오.
AUISCE0027,재시작 가능 상태가 아닙니다. 현재상태를 확인하세요.
AUISVE0001,그리드에 중복되는 값이 있습니다. 중복되는 값을 삭제해주세요.
AUISVE0002,팝업 화면입니다. 경로를 직접 입력해주세요.
AUISVE0003,JSON 입력 형태가 옳지 않습니다. JSON 입력 값을 확인해주세요.
AUISVE0004,배치 인스턴스 정보는 기 삭제 되었습니다. 입력값을 확인하십시요.
AUISVE0005,입출금계좌의 통화가 불일치하거나 자동이체에 허용되지 않은 통화입니다.  통화를 확인하십시오
BUIATE0001,위험 선호도 정보가 등록되지 않았습니다. 등록하시겠습니까? 
BUICUE0001,변경전 비밀번호가 정확하지 않습니다.   변경전 비밀번호를 확인하십시오.
BUIPYE0001,입력된 계좌번호와 연결된 외부 메인 계좌번호가 일치하지 않습니다. 입력값을 확인 바랍니다.
BUIPYE0004,支付接口出错 请咨询IT
BUIPYE0005,투자계좌가 없습니다. 먼저 투자계좌를 만드십시오. 먼저 투가계좌를 만드십시오.
BUISVE0001,오늘 취소할 수 있는 투작금액이 존재하지 않습니다..  확인 후 다시 거래하십시오
BUISVE0002,출금금액이 정확하지 않습니다.  다시 확인하십시오.
BUISVE0003,잔액이 부족합니다. 확인하고 다시 거래하십시오
BUISVE0004,투자가능한 유효금액이 아닙니다. 투자단위금액은({0})입니다.  확인하고 다시 거래하십시오
BUISVE0005,본 상품의 투자가능기간은 ({})~({})입니다.  확인하고 다시 거래하십시오.
